,epoch,train_loss,val_loss,accuracy,val_accuracy,time
77,78,0.195,0.645,92.15,81.7,6.5
78,79,0.249,0.632,90.56,80.11,6.7
79,80,0.209,0.519,93.09,82.49,6.5
80,81,0.217,0.545,92.22,82.23,6.4
81,82,0.201,0.607,92.62,81.7,6.3
82,83,0.202,0.659,92.62,81.43,6.5
83,84,0.203,0.638,92.42,83.02,6.5
84,85,0.218,0.611,92.29,82.49,6.8
85,86,0.189,0.706,93.82,80.9,6.9
86,87,0.168,0.679,94.02,81.96,6.3
87,88,0.153,0.622,94.75,82.76,6.3
88,89,0.161,0.599,94.22,81.17,6.6
89,90,0.181,0.579,93.22,84.35,6.4
90,91,0.16,0.689,94.02,83.29,6.2
91,92,0.17,0.631,93.28,81.96,6.6
92,93,0.173,0.567,93.35,83.29,6.3
93,94,0.165,0.616,94.22,83.29,7.4
94,95,0.187,0.69,94.35,81.96,7.0
95,96,0.188,0.549,93.42,83.82,6.9
96,97,0.159,0.703,94.22,82.49,7.9
97,98,0.164,0.665,94.08,82.76,7.7
98,99,0.133,0.595,95.55,84.88,6.3
99,100,0.125,0.824,95.21,82.76,8.5
100,101,0.15,0.755,94.75,81.43,7.6
101,102,0.172,0.721,94.48,83.02,7.3
102,103,0.104,0.678,96.34,83.02,7.7
103,104,0.131,0.682,94.95,80.37,6.7
104,105,0.178,0.855,93.75,77.98,8.3
105,106,0.126,0.696,95.41,84.62,8.5
106,107,0.117,0.754,95.35,82.76,6.8
107,108,0.126,0.653,95.28,82.49,6.3
108,109,0.114,0.678,95.61,85.41,6.7
109,110,0.122,0.77,96.01,83.02,6.7
110,111,0.159,0.632,94.28,82.23,8.7
111,112,0.109,0.87,95.94,82.49,6.8
112,113,0.103,0.779,96.34,83.29,8.3
113,114,0.124,0.818,95.35,83.29,7.2
114,115,0.082,0.817,97.07,83.55,6.5
115,116,0.1,0.842,96.41,83.02,7.0
116,117,0.141,0.696,95.21,84.88,6.4
117,118,0.114,0.787,96.01,81.17,6.4
118,119,0.069,0.927,97.94,81.7,6.3
119,120,0.089,0.932,96.68,83.29,6.6
120,121,0.111,0.793,96.21,85.68,6.8
121,122,0.066,0.895,97.54,84.62,6.4
122,123,0.1,0.82,96.48,83.02,6.5
123,124,0.124,0.715,96.08,84.88,6.5
124,125,0.062,0.807,97.94,83.29,6.5
125,126,0.102,0.728,96.61,83.29,6.3
126,127,0.063,0.877,98.07,83.02,6.4
127,128,0.066,1.093,97.87,80.11,6.2
128,129,0.101,0.909,96.34,81.43,6.3
129,130,0.098,0.924,96.81,81.17,6.5
130,131,0.093,0.826,96.81,84.35,6.6
131,132,0.083,0.873,97.21,82.23,6.5
132,133,0.085,0.827,96.74,82.23,6.4
133,134,0.063,1.087,98.14,82.23,6.3
134,135,0.127,0.777,96.28,81.43,8.2
135,136,0.102,0.826,97.07,81.43,6.6
136,137,0.082,0.799,97.14,83.82,6.8
137,138,0.133,0.983,95.01,80.9,7.4
138,139,0.066,0.701,98.14,85.41,6.6
139,140,0.074,0.915,97.47,82.23,6.6
140,141,0.092,0.846,96.61,83.82,6.2
141,142,0.059,0.845,97.87,83.55,6.9
142,143,0.048,0.949,98.4,82.76,6.8
143,144,0.047,0.808,98.34,83.02,7.1
144,145,0.075,0.798,97.21,85.41,6.4
145,146,0.095,0.834,96.81,83.02,6.6
146,147,0.062,0.948,97.74,82.76,8.3
147,148,0.087,0.769,97.47,82.76,6.4
148,149,0.076,0.899,97.54,84.62,7.5
149,150,0.091,0.853,96.61,84.88,6.3
