,epoch,train_loss,val_loss,accuracy,val_accuracy,time
43,44,0.454,0.656,83.98,77.19,6.6
44,45,0.469,0.644,83.44,78.51,7.8
45,46,0.434,0.685,84.44,78.78,6.1
46,47,0.44,0.644,84.31,79.84,6.0
47,48,0.436,0.672,84.51,78.78,7.7
48,49,0.433,0.811,84.11,75.33,6.9
49,50,0.424,0.631,84.57,81.43,7.1
50,51,0.42,0.649,85.44,78.78,7.1
51,52,0.409,0.8,85.17,74.54,7.4
52,53,0.394,0.617,85.31,79.31,7.4
53,54,0.416,0.736,84.44,77.98,7.5
54,55,0.442,0.591,84.24,80.9,7.5
55,56,0.411,0.596,85.11,79.31,7.8
56,57,0.383,0.692,85.97,76.39,6.2
57,58,0.408,0.709,85.44,76.13,5.9
58,59,0.375,0.627,85.9,78.25,6.5
59,60,0.365,0.626,85.97,79.31,6.1
60,61,0.351,0.653,86.9,79.58,6.0
61,62,0.348,0.648,86.77,81.43,6.1
62,63,0.366,0.677,85.9,79.58,6.0
63,64,0.339,0.896,87.17,76.13,5.9
64,65,0.375,0.628,85.44,81.7,6.7
65,66,0.33,0.66,88.56,79.05,8.6
66,67,0.317,0.635,88.63,82.23,8.4
67,68,0.33,0.614,88.7,82.49,6.4
68,69,0.356,0.624,87.37,81.96,7.6
69,70,0.343,0.647,87.3,79.58,6.1
70,71,0.365,0.62,86.44,80.11,5.8
71,72,0.342,0.535,87.7,84.62,6.1
72,73,0.331,0.632,87.5,81.7,6.0
73,74,0.311,0.645,88.36,80.9,5.9
74,75,0.298,0.604,88.23,81.96,7.6
75,76,0.332,0.605,87.23,81.7,7.0
76,77,0.333,0.596,87.37,81.7,7.7
77,78,0.287,0.735,89.76,81.17,6.1
78,79,0.272,0.719,89.76,81.7,6.1
79,80,0.309,0.808,88.36,76.39,5.7
80,81,0.283,0.574,89.43,83.02,5.9
81,82,0.263,0.69,89.49,82.23,6.4
82,83,0.292,0.635,89.69,80.11,6.0
83,84,0.27,0.513,89.43,85.68,6.4
84,85,0.284,0.618,89.23,80.64,6.4
85,86,0.266,0.638,90.29,81.43,6.1
86,87,0.244,0.675,90.82,81.17,5.9
87,88,0.274,0.692,89.89,80.64,5.8
88,89,0.258,0.693,90.89,80.9,6.2
89,90,0.293,0.596,89.23,81.7,6.2
90,91,0.273,0.663,89.69,81.96,6.4
91,92,0.246,0.607,90.82,81.7,6.4
92,93,0.214,0.66,92.02,81.17,6.9
93,94,0.276,0.665,88.83,81.7,7.7
94,95,0.246,0.656,90.96,81.17,6.5
95,96,0.268,0.683,88.83,83.02,6.0
96,97,0.222,0.7,91.56,82.76,6.0
97,98,0.23,0.725,91.22,81.96,6.1
98,99,0.208,0.75,91.36,80.64,7.2
99,100,0.212,0.862,91.36,77.98,6.2
100,101,0.259,0.719,90.43,80.37,6.1
101,102,0.215,0.69,91.82,82.49,6.3
102,103,0.22,0.837,91.49,76.92,6.1
103,104,0.239,0.628,90.76,82.76,7.1
104,105,0.225,0.598,91.62,83.29,6.7
105,106,0.206,0.757,92.62,82.23,5.7
106,107,0.183,0.742,93.09,82.76,6.0
107,108,0.202,0.713,91.69,80.11,6.3
108,109,0.2,0.747,92.22,80.9,6.0
109,110,0.192,0.682,92.42,81.43,7.0
110,111,0.184,0.752,92.89,80.9,6.2
111,112,0.221,0.716,91.56,81.7,6.6
112,113,0.178,0.716,93.35,83.02,6.6
113,114,0.218,0.749,91.69,80.11,6.0
114,115,0.21,0.717,92.35,80.64,5.8
115,116,0.176,0.882,93.82,79.58,6.5
116,117,0.144,0.731,94.28,80.37,6.2
117,118,0.164,0.77,94.02,79.84,5.9
118,119,0.212,0.757,91.76,82.49,7.8
119,120,0.17,0.72,93.75,81.43,7.0
120,121,0.149,0.705,94.48,84.35,7.9
121,122,0.171,0.61,93.48,85.94,8.6
122,123,0.14,0.872,94.68,82.76,6.2
123,124,0.248,0.756,90.69,77.98,6.3
124,125,0.147,0.679,94.75,83.55,5.9
125,126,0.178,0.745,93.95,82.49,6.1
126,127,0.162,0.787,93.95,81.96,5.7
127,128,0.165,0.782,94.08,80.64,6.1
128,129,0.154,0.694,94.22,82.49,5.7
129,130,0.145,0.839,94.08,80.9,5.8
130,131,0.169,0.72,93.95,84.08,7.4
131,132,0.147,0.841,94.75,83.82,6.1
132,133,0.164,0.812,93.75,83.82,7.0
133,134,0.174,0.806,93.82,81.17,6.0
134,135,0.142,0.859,94.35,82.23,6.8
135,136,0.115,0.767,95.61,82.23,6.2
136,137,0.125,0.891,95.01,82.49,6.1
137,138,0.168,0.798,94.41,80.64,6.1
138,139,0.21,0.69,92.95,83.29,6.1
139,140,0.151,0.926,94.41,82.23,5.9
140,141,0.114,0.851,95.55,81.17,6.0
141,142,0.11,0.888,96.21,81.96,6.1
142,143,0.114,0.791,95.28,81.96,6.0
143,144,0.121,0.842,95.81,83.02,5.8
144,145,0.168,0.774,93.95,81.43,6.0
145,146,0.105,0.719,96.01,83.02,7.8
146,147,0.113,0.886,95.55,83.55,7.6
147,148,0.093,0.889,95.94,82.23,7.4
148,149,0.116,0.904,95.74,80.37,6.2
149,150,0.142,0.871,94.48,84.08,6.3
